oid,validate,cache,store,call,processArgument,processReturn,fonte_oracolo,oracolo,nota
non valido,false,presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,presente,presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
non valido,false,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,non presente,presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
non valido,false,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,presente,non presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
non valido,false,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,non presente,non presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
non valido,false,--,--,non null,ritorna null,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find (anche se processArgument ignora l'argomento)
non valido,false,--,--,non null,ritorna null,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale (anche se processArgument ignora l'argomento)
non valido,false,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
non valido,false,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,true,presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,presente,presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,non presente,presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,presente,non presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,non presente,non presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,--,--,non null,ritorna null,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find (anche se processArgument ignora l'argomento)
valido,true,--,--,non null,ritorna null,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto (anche se processArgument ignora l'argomento)"
valido,true,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,true,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,false,presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,presente,presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
valido,false,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,non presente,presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
valido,false,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,presente,non presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
valido,false,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,non presente,non presente,non null,ritorna id,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale
valido,false,--,--,non null,ritorna null,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find (anche se processArgument ignora l'argomento)
valido,false,--,--,non null,ritorna null,ritorna null,ipotesi,istanza non-null (garanzia 'mai null' assunta prevalente sul null di processReturn),conflitto mai-null/processReturn=null: mai-null prevale (anche se processArgument ignora l'argomento)
valido,false,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,false,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
