oid,validate,cache,store,call,processArgument,processReturn,fonte_oracolo,oracolo,nota
non valido,false,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,non presente,presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
non valido,false,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,presente,non presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
non valido,false,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
non valido,false,non presente,non presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
non valido,false,--,--,non null,ritorna null,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find (anche se processArgument ignora l'argomento)
non valido,false,--,--,non null,ritorna null,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
non valido,false,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
non valido,false,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,true,presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,presente,presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,non presente,presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,presente,non presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,true,non presente,non presente,non null,ritorna id,ritorna null,inferenza,null,"processReturn=null sostituisce, nessun conflitto"
valido,true,--,--,non null,ritorna null,ritorna oggetto,osservazione,eccezione (ObjectNotFoundException),corretto: oid=null (pArg ignora l'argomento) con validate=true lancia prima di raggiungere processReturn; invertito rispetto a ipotesi originale
valido,true,--,--,non null,ritorna null,ritorna null,osservazione,eccezione (ObjectNotFoundException),corretto: oid=null (pArg ignora l'argomento) con validate=true lancia prima di raggiungere processReturn; invertito rispetto a ipotesi originale
valido,true,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,true,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,false,presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,presente,presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
valido,false,non presente,presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,non presente,presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
valido,false,presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,presente,non presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
valido,false,non presente,non presente,non null,ritorna id,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find
valido,false,non presente,non presente,non null,ritorna id,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
valido,false,--,--,non null,ritorna null,ritorna oggetto,inferenza,"oggetto ritornato da processReturn (non-null, non ulteriormente specificato)",processReturn sostituisce il ritorno di find (anche se processArgument ignora l'argomento)
valido,false,--,--,non null,ritorna null,ritorna null,osservazione,null,"corretto: find() ritorna esattamente il valore di processReturn, incluso null; l'ipotesi 'mai-null prevale' non regge"
valido,false,--,--,non null,eccezione,ritorna oggetto,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
valido,false,--,--,non null,eccezione,ritorna null,inferenza,eccezione propagata da find,eccezione di processArgument si propaga (processReturn non raggiunto)
